centrality,silhouette_widths
eigenvector,0.96764815337338
eigenvector_numpy,0.9676463550015967
subgraph,0.9960813304503212
katz_numpy,0.8580983399096228
subgraph_exp,0.9960813304491113
degree,0.9949458154839437
laplacian,0.9955923924957031
closeness,0.6125528604132381
harmonic,0.644153396908282
betweenness,0.9940380921609907
decay,0.647295345553895
eccentricity,0.9867000617486255
radiality,0.64692826826679
current_flow_closeness,0.9029214254516391
information,0.9029214254516391
curr_flw_betwens,0.9924239171846239
approx_curr_flw_betwens,0.9921381056441351
comm_betwens,0.9869819932846795
load,0.9939573307896669
pagerank,0.9952574658408122
second_order,0.9061411173882022
proximal_betweenness,0.9970275625231154
katz,0.9677100927235582
beta_reach,0.6478796211018792
