centrality,silhouette_widths
eigenvector,0.9453635397503337
eigenvector_numpy,0.9453687746689793
subgraph,0.9918075152805547
katz_numpy,0.6247744674279612
subgraph_exp,0.9918075152805467
degree,0.9856572994204552
laplacian,0.9890013217197406
closeness,0.6668673716834929
harmonic,0.6371704443218508
betweenness,0.9899509258601182
decay,0.6384296575653509
eccentricity,0.8329920978734304
radiality,0.6324757735618424
current_flow_closeness,0.722018940763147
information,0.722018940763147
curr_flw_betwens,0.9855644641075795
approx_curr_flw_betwens,0.9867111992370252
comm_betwens,0.9788825983722266
load,0.9894016136910659
pagerank,0.9866973151961573
second_order,0.7571324987482406
proximal_betweenness,0.9943805418944012
katz,0.9466107119235523
beta_reach,0.6365786026428876
